ine_code;municipality;province;ccaa;year;deceased;injured_hospitalized;injured_not_hospitalized
02068;Robledo;Albacete;Castilla-La Mancha;2023;0;0;0
02069;"Roda; La";Albacete;Castilla-La Mancha;2023;0;1;7
02070;Salobre;Albacete;Castilla-La Mancha;2023;0;0;1
02071;San Pedro;Albacete;Castilla-La Mancha;2023;0;0;0
02072;Socovos;Albacete;Castilla-La Mancha;2023;0;0;0
02073;Tarazona de la Mancha;Albacete;Castilla-La Mancha;2023;0;0;2
02074;Tobarra;Albacete;Castilla-La Mancha;2023;0;1;4
02075;Valdeganga;Albacete;Castilla-La Mancha;2023;0;1;3
02076;Vianos;Albacete;Castilla-La Mancha;2023;0;0;0
02077;Villa de Ves;Albacete;Castilla-La Mancha;2023;0;0;0
02078;Villalgordo del Júcar;Albacete;Castilla-La Mancha;2023;0;0;1
02079;Villamalea;Albacete;Castilla-La Mancha;2023;0;0;1
02080;Villapalacios;Albacete;Castilla-La Mancha;2023;0;0;0
02081;Villarrobledo;Albacete;Castilla-La Mancha;2023;0;4;57
02082;Villatoya;Albacete;Castilla-La Mancha;2023;0;0;0
02083;Villavaliente;Albacete;Castilla-La Mancha;2023;;;
02084;Villaverde de Guadalimar;Albacete;Castilla-La Mancha;2023;0;0;0
02085;Viveros;Albacete;Castilla-La Mancha;2023;0;0;0
02086;Yeste;Albacete;Castilla-La Mancha;2023;0;0;0
02901;Pozo Cañada;Albacete;Castilla-La Mancha;2023;0;1;2
03000;Alicante/Alacant ( municipio sin especificar);Alicante/Alacant;Comunitat Valenciana;2023;;;
03001;Adsubia;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03002;Agost;Alicante/Alacant;Comunitat Valenciana;2023;0;0;3
03003;Agres;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03004;Aigües;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03005;Albatera;Alicante/Alacant;Comunitat Valenciana;2023;0;0;17
03006;Alcalalí;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03007;Alcocer de Planes;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03008;Alcoleja;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03009;Alcoy/Alcoi;Alicante/Alacant;Comunitat Valenciana;2023;2;3;55
03010;Alfafara;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03011;"Alfàs del Pi; l'";Alicante/Alacant;Comunitat Valenciana;2023;1;10;104
03012;Algorfa;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03013;Algueña;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03014;Alicante/Alacant;Alicante/Alacant;Comunitat Valenciana;2023;5;59;190
03015;Almoradí;Alicante/Alacant;Comunitat Valenciana;2023;0;1;1
03016;Almudaina;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03017;"Alqueria d'Asnar; l'";Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03018;Altea;Alicante/Alacant;Comunitat Valenciana;2023;0;2;53
03019;Aspe;Alicante/Alacant;Comunitat Valenciana;2023;0;5;23
03020;Balones;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03021;Banyeres de Mariola;Alicante/Alacant;Comunitat Valenciana;2023;0;0;3
03022;Benasau;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03023;Beneixama;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03024;Benejúzar;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03025;Benferri;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03026;Beniarbeig;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03027;Beniardá;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03028;Beniarrés;Alicante/Alacant;Comunitat Valenciana;2023;0;0;1
03029;Benigembla;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03030;Benidoleig;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03031;Benidorm;Alicante/Alacant;Comunitat Valenciana;2023;1;24;239
03032;Benifallim;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03033;Benifato;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03034;Benijófar;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03035;Benilloba;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03036;Benillup;Alicante/Alacant;Comunitat Valenciana;2023;;;
03037;Benimantell;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03038;Benimarfull;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03039;Benimassot;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03040;Benimeli;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03041;Benissa;Alicante/Alacant;Comunitat Valenciana;2023;0;0;11
03042;"Benitachell/Poble Nou de Benitatxell; el";Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03043;Biar;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03044;Bigastro;Alicante/Alacant;Comunitat Valenciana;2023;0;0;1
03045;Bolulla;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03046;Busot;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03047;Calp;Alicante/Alacant;Comunitat Valenciana;2023;1;2;8
03048;Callosa d'en Sarrià;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03049;Callosa de Segura;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03050;"Campello; el";Alicante/Alacant;Comunitat Valenciana;2023;1;5;23
03051;"Campo de Mirra/Camp de Mirra; el";Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03052;Cañada;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03053;Castalla;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03054;Castell de Castells;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03055;Catral;Alicante/Alacant;Comunitat Valenciana;2023;0;1;17
03056;Cocentaina;Alicante/Alacant;Comunitat Valenciana;2023;0;1;4
03057;Confrides;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03058;Cox;Alicante/Alacant;Comunitat Valenciana;2023;1;0;8
03059;Crevillent;Alicante/Alacant;Comunitat Valenciana;2023;0;0;5
03060;Quatretondeta;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03061;Daya Nueva;Alicante/Alacant;Comunitat Valenciana;2023;0;0;2
03062;Daya Vieja;Alicante/Alacant;Comunitat Valenciana;2023;0;1;0
03063;Dénia;Alicante/Alacant;Comunitat Valenciana;2023;1;15;32
03064;Dolores;Alicante/Alacant;Comunitat Valenciana;2023;0;0;1
03065;Elche/Elx;Alicante/Alacant;Comunitat Valenciana;2023;1;19;958
03066;Elda;Alicante/Alacant;Comunitat Valenciana;2023;1;6;78
03067;Facheca;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03068;Famorca;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03069;Finestrat;Alicante/Alacant;Comunitat Valenciana;2023;0;2;31
03070;Formentera del Segura;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03071;Gata de Gorgos;Alicante/Alacant;Comunitat Valenciana;2023;0;1;9
03072;Gaianes;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03073;Gorga;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03074;Granja de Rocamora;Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03075;"Castell de Guadalest; el";Alicante/Alacant;Comunitat Valenciana;2023;0;0;0
03076;Guardamar del Segura;Alicante/Alacant;Comunitat Valenciana;2023;0;2;14
