ine_code;province;autonomous_community;year;total_sanctions_with_points;total_points_deducted;speeding_two_points;speeding_three_points;speeding_four_points;speeding_six_points;alcohol_four_points;alcohol_six_points;drugs_six_points;helmet_seatbelt_child_restraint_system_three_points;helmet_seatbelt_child_restraint_system_four_points;helmet_seatbelt_child_restraint_system_six_points;mobile_phone_three_points;mobile_phone_four_points ;mobile_phone_six_points ;traffic_light_three_points;traffic_light_four_points;traffic_light_six_points;other_three_points;other_four_points;other_six_points
02026;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02027;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02028;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02029;Albacete;Castilla-La Mancha;2022;26;120;2;0;0;0;4;6;0;12;8;0;0;0;0;0;0;0;12;4;72
02030;Albacete;Castilla-La Mancha;2022;20;70;12;0;8;0;0;0;0;9;4;0;3;0;12;0;0;0;0;16;6
02031;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02032;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02033;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02034;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02035;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02036;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02037;Albacete;Castilla-La Mancha;2022;186;717;58;0;36;12;64;72;0;33;96;0;0;0;0;0;24;0;84;112;126
02038;Albacete;Castilla-La Mancha;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
